created_at,tweet_ID,user,tweet_content,place,language,source
2021-03-20 18:25:40,'1373339978235789312,CVagts,@SeanRossSapp Did your doctor recommend you sleep as much as possible after the surgery?  I had the surgery on a Thursday and the follow-up on a Friday morning and was prescribed Ambien to sleep through all of Thursday to let my eyes rest.,None,en,mobile browser
2021-03-20 18:23:13,'1373339358959394818,KensieMarie,Lmao never ever agree to be your sisters made of honor. I’m about to slip an ambien in her iced coffee and call it a day,None,en,iphone
2021-03-20 18:36:49,'1373342781716885504,randileeharper,"adventures in ambien, pt 432:before bed, i placed an instacart order for wine and prosciutto: the 2 major food groups.  i knew i was going to have problems sleeping, so i took some ambien and tried to get to sleep. i guess it didn't work.",None,en,mobile browser
2021-03-20 18:37:48,'1373343030388854785,andreiawhale,"Zolpidem dá tudo, menos sono",None,pt,android
2021-03-20 18:46:09,'1373345132385337352,jul1nda,Ressaca de zolpidem hoje e com vergonha dos meus atos dopada nesta madrugada.,None,pt,android
2021-03-20 18:53:51,'1373347070296223744,quakeszbee,"quando vcs estão com muito muito muito sono vcs ficam vendo coisa também???pq ontem eu tava morta de sono e fiquei tendo umas alucinações de leve q eu só tinha quando tomava o zolpidemprimeira vez q me deu sem eu ter tomado remédio, aí n sei se me preocupo ou n",None,pt,iphone
2021-03-20 18:56:57,'1373347849711276036,neoalines,@Phendrias @miojodechedar e eu doidinha pro zolpidem voltar pra minha vida,None,pt,android
2021-03-20 18:58:29,'1373348234572165121,Cody_MF_Raw,Need some Zolpidem Tartrate in my life,None,en,iphone
2021-03-20 19:04:26,'1373349731674521615,carolannfmm,"RT @eylaraaa: @carolannfmm Zolpidem (Ambien) y Zaleplon (Sonata) actúan bien, no sé si las venden sin recetas; pero yo digo qué mejor qué t…",None,es,iphone
2021-03-20 21:42:25,'1373389492351082502,Zabelona,"@osculumcherry Por enquanto só acabou o zolpidem, meu amigo me abençoou com 3 caixas de depakote e ainda tenho",None,pt,android
2021-03-20 20:56:39,'1373377971629735940,LeticiaClasen,Não acredito q o cara excluiu a thread do zolpidem,None,pt,iphone
2021-03-20 22:08:26,'1373396038808182784,anxiouslesb,temos q preservar o meio ambien- QUEIMA PODE DESMATAR DESTRÓI https://t.co/AGoyBTl9Vs,None,pt,iphone
2021-03-20 22:04:34,'1373395062973956099,MaryFallWade1,"take anything bec if I don't, I won't fall asleep until 4 or 5 am, will only get like 4 hours of horrible sleep, and will feel like hell the next day. This happens every night.The other option is the Lunesta/Ambien/Sonata family. I fall asleep faster w/ these, but I don't4/",None,en,mobile browser
2021-03-20 21:58:14,'1373393469385900032,galarafael,@adriles81 Si ambien es tierno..,None,es,android
2021-03-20 22:21:04,'1373399216697995264,WLWSILENTHILL,see id put myself at a 5 but that was before i posted about my girlfriend  like i was high on ambien all the time https://t.co/mzHeakJHdH,"Place(_api=<tweepy.api.API object at 0x0000024BA24E01C0>, id='0e2242eb8691df96', url='https://api.twitter.com/1.1/geo/id/0e2242eb8691df96.json', place_type='city', name='Henderson', full_name='Henderson, NV', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000024BA24E01C0>, type='Polygon', coordinates=[[[-115.1581427, 35.917793], [-114.918531, 35.917793], [-114.918531, 36.094719], [-115.1581427, 36.094719]]]), attributes={})",en,android
2021-03-20 22:25:34,'1373400347956416516,SC_stosh,Investigators: Tiger Woods never hit brakes during crash https://t.co/mM1WKf77BP It may come out that he has narcolepsy and it doesn't help he is known to take Ambien.  Dangerous to him and anyone on the road with him.,None,en,mobile browser
2021-03-21 01:32:07,'1373447298072645634,lucasmendoza23,Jajajajajajajajajjk zolpidem https://t.co/ttQ6tgzio9,None,es,android
2021-03-21 01:27:56,'1373446243725234178,i6toji,"Tomei zolpidem da forma que era para tomar, mas ele acabou rapidinho. Será que vai fazer efeito?",None,pt,android
2021-03-21 01:33:00,'1373447517594120195,ecoopersmith,Avery Johnson sounds like Leslie Jones took an Ambien,None,en,http://twitter.com/#!/download/ipad
2021-03-21 01:29:31,'1373446640061779969,JoyceMinipoodle,@chipfranklin Ambien?,None,es,iphone
2021-03-21 01:39:09,'1373449066860982274,brunnazepam,as vezes no surto pós zolpidem 🥺,None,pt,iphone
2021-03-21 01:37:11,'1373448571610075137,LittleCandyRay1,"RT @guilhotines: pocah     |    zolpidemótimo pra dormir, mas se ficar acordada começa a delirar. https://t.co/cHYP5Qjt2c",None,pt,android
2021-03-21 01:43:43,'1373450214552576004,scartissurs,melhor parte do meu dia é me dopar com zolpidem toda noite durmo feito um anjo,None,pt,iphone
